user,community,community_infomap,degree_centrality_undirected,in_degree_centrality_directed,out_degree_centrality_directed,closeness_centrality_undirected,closeness_centrality_directed,betweenness_centrality_undirected,betweenness_centrality_directed,pagerank,stance_score,stance_leaning
emarktaylor.bsky.social,15,36,0.002932551319648094,0.0,0.002932551319648094,0.021121351766513058,0.0,0.0009301484361879417,0.0,0.0008512649162196095,0.0,neutral
mrc-qpp62.bsky.social,16,176,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:hgvmwtjpeee5bjuua3fem7nx,16,176,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
did:plc:k443opxfvjscjwusntnfhwi2,15,36,0.002932551319648094,0.002932551319648094,0.0,0.02413868773315778,0.005131964809384164,0.0013823039260015242,0.0,0.0015943898651043877,0.0,neutral
flashgroove.bsky.social,68,12,0.001466275659824047,0.0,0.001466275659824047,0.00593841642228739,0.0,0.0,0.0,0.0008512649162196095,0.12536172384861857,sinner
did:plc:x7d6j54pm22ufehkes6jo4jf,68,12,0.00879765395894428,0.00879765395894428,0.0,0.009897360703812317,0.008797653958944282,0.00012918728280388077,0.0,0.004650814776517007,0.0,neutral
heyitsmeleah.bsky.social,17,183,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,-0.22782765477895736,alcaraz
sallyjenx.bsky.social,17,183,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.006751250848174101,neutral
mb-renee.bsky.social,33,17,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.003770423125261835,0.0019550342130987292,0.0,0.0,0.0017095741896533143,-0.18202683106064796,alcaraz
ticoqrouge.bsky.social,33,17,0.005865102639296188,0.002932551319648094,0.00439882697947214,0.005865102639296188,0.002932551319648094,5.167491312155231e-05,1.0765606900323399e-05,0.003028511330702029,-0.14216826266298688,alcaraz
earsgato.bsky.social,18,187,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.29710213132202623,sinner
did:plc:wmn63mfrex6ylcwgvvtql4dc,18,187,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
lqueens.bsky.social,19,13,0.002932551319648094,0.001466275659824047,0.001466275659824047,0.005278592375366569,0.001466275659824047,0.0,0.0,0.0009960096728023676,0.009807062894105906,neutral
thebodyserve.bsky.social,19,13,0.007331378299120235,0.007331378299120235,0.0,0.00754084625052367,0.007331378299120235,5.167491312155231e-05,0.0,0.004303457715449812,-0.6345167169696652,alcaraz
caropaquin80.bsky.social,8,2,0.001466275659824047,0.001466275659824047,0.0,0.03569805932368404,0.006598240469208212,0.0,0.0,0.0010373381059589188,0.024032228626310825,neutral
illimij.bsky.social,20,195,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,-0.5421877881512046,alcaraz
leemeade.bsky.social,20,195,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0656245223645653,sinner
bookshrike.bsky.social,8,2,0.002932551319648094,0.001466275659824047,0.002932551319648094,0.03598769875024537,0.005913978494623656,0.0009301484361879417,2.3684335180711476e-05,0.0010373381059589188,0.09133033081889153,sinner
etashiordnung.bsky.social,21,38,0.001466275659824047,0.0,0.001466275659824047,0.0026392961876832845,0.0,0.0,0.0,0.0008512649162196095,-0.541020497540012,alcaraz
weirdalf.bsky.social,21,38,0.00439882697947214,0.00439882697947214,0.0,0.004398826979472141,0.004398826979472141,1.2918728280388077e-05,0.0,0.0030224362649609797,-0.284937446649068,alcaraz
gwedlid.bsky.social,22,199,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,-0.12307300567626953,alcaraz
did:plc:h3jygrp3qaohj5m66a2mdmez,22,199,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
